rep,delta_target,w_B,rho,c_A,c_B,n_A,n_B,n_pos_mix,n_s_mix,auc_mix,auc_A,auc_B,bayes_A,bayes_B,delta_realized,gain,cx_min,cx_max,cx_ratio,comp_q1,comp_q5,comp_gap
18,0.20399999999999996,0.631578947368421,0.8,0.99,0.99,209,285,494,487,0.7377474626032201,0.8753489730528379,0.6121274375529903,0.9080000000007684,0.7039999999963901,0.2632215354998476,0.13760151044961777,0.9629629629629629,0.9954954954954955,1.033783783783784,0.058823529411764705,0.6486486486486487,0.589825119236884
19,0.20399999999999996,0.631578947368421,0.8,0.99,0.99,191,278,469,467,0.7267256920970062,0.8505522324737871,0.6341748278079713,0.9080000000004745,0.7040000000001249,0.2163774046658158,0.12382654037678087,0.9893048128342246,1.0,1.010810810810811,0.045454545454545456,0.5935828877005348,0.5481283422459894
20,0.20399999999999996,0.631578947368421,0.8,0.99,0.99,203,313,516,509,0.7439822605312965,0.8921592407530727,0.6082155556758904,0.9079999999998685,0.7039999999998072,0.2839436850771824,0.14817698022177628,0.9361702127659575,1.0,1.0681818181818181,0.02564102564102564,0.6391304347826087,0.613489409141583
21,0.20399999999999996,0.631578947368421,0.8,0.99,0.99,201,274,475,470,0.7797864692311819,0.9070145693713899,0.6473554909881181,0.9079999999989321,0.7040000000003194,0.25965907838327185,0.12722810014020802,0.975,1.0,1.0256410256410258,0.041666666666666664,0.6491935483870968,0.6075268817204301
22,0.20399999999999996,0.631578947368421,0.8,0.99,0.99,200,294,494,483,0.7625421683985489,0.861665176575771,0.6387653521511263,0.9080000000008167,0.7040000000022852,0.22289982442464473,0.09912300817722208,0.9545454545454546,1.0,1.0476190476190477,0.045454545454545456,0.591304347826087,0.5458498023715416
23,0.20399999999999996,0.631578947368421,0.8,0.99,0.99,224,265,489,483,0.7633879643743464,0.8846043670518365,0.5669637582959797,0.9080000000010597,0.7039999999961276,0.31764060875585687,0.12121640267749012,0.9752066115702479,1.0,1.0254237288135593,0.034482758620689655,0.6735537190082644,0.6390709603875748
24,0.20399999999999996,0.631578947368421,0.8,0.99,0.99,202,270,472,466,0.7338530210894035,0.8855494274259641,0.5895947631988241,0.9080000000011439,0.7039999999969038,0.29595466422714,0.15169640633656056,0.9817351598173516,1.0,1.0186046511627906,0.06666666666666667,0.6575342465753424,0.5908675799086758
25,0.20399999999999996,0.631578947368421,0.8,0.99,0.99,223,272,495,489,0.7506725337827295,0.8855064185918392,0.6219467463659828,0.9079999999989918,0.7039999999971306,0.2635596722258564,0.13483388480910974,0.9793388429752066,1.0,1.021097046413502,0.11428571428571428,0.6611570247933884,0.5468713105076741
26,0.20399999999999996,0.631578947368421,0.8,0.99,0.99,206,273,479,475,0.7396154313655664,0.846753382391979,0.6310539429763089,0.9080000000002899,0.7040000000022639,0.21569943941567005,0.10713795102641255,0.9759036144578314,1.0,1.0246913580246912,0.08695652173913043,0.655,0.5680434782608696
27,0.20399999999999996,0.631578947368421,0.8,0.99,0.99,200,283,483,479,0.7697476747808288,0.8726665176575771,0.6547338996230204,0.9080000000002156,0.7040000000026022,0.21793261803455666,0.10291884287674824,0.9565217391304348,1.0,1.0454545454545454,0.0,0.5672268907563025,0.5672268907563025
28,0.20399999999999996,0.631578947368421,0.8,0.99,0.99,203,319,522,513,0.741838480237688,0.8554449594489111,0.6453610047924788,0.9080000000004,0.7039999999974939,0.21008395465643226,0.11360647921122313,0.9669421487603306,1.0,1.0341880341880343,0.034482758620689655,0.5478260869565217,0.5133433283358321
29,0.20399999999999996,0.631578947368421,0.8,0.99,0.99,188,272,460,455,0.746458182138066,0.8970298856229246,0.5730777068333107,0.9079999999987208,0.7040000000031587,0.3239521787896139,0.1505717034848586,0.9705882352941176,1.0,1.0303030303030303,0.029411764705882353,0.6431924882629108,0.6137807235570284
0,0.20399999999999996,0.631578947368421,0.8,0.99,0.458,190,297,487,330,0.7792986889906808,0.901646639964397,0.6397007457755121,0.9079999999999299,0.7040000000023171,0.2619458941888849,0.1223479509737162,0.44,0.7725321888412017,1.7557549746390948,0.0,0.5879828326180258,0.5879828326180258
1,0.20399999999999996,0.631578947368421,0.8,0.99,0.458,197,264,461,315,0.7472665478145557,0.897955946337926,0.5646989917583567,0.9080000000013018,0.7040000000007919,0.3332569545795693,0.15068939852337027,0.5161290322580645,0.8411214953271028,1.6296728971962617,0.03225806451612903,0.7149532710280374,0.6826952065119084
